Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C496551,BWSMA-KWE-Z001,BAT WIRELESS,Through Hole,,Connector Receptacle SMA Female Pin 50Ω Through Hole Right Angle,yes,2,1,1,0.4986,1.00,https://www.lcsc.com/product-detail/C496551.html
2,C411380,TX4G-JKS-20,EBYTE,-,,4G Antenna 5dBi 2.205GHz RF Antennas RoHS,yes,2,1,1,1.9593,3.92,https://www.lcsc.com/product-detail/C411380.html
